SKU,Inventory Quantity (Northwood),Inventory Quantity (Eastgate Mall),Inventory Quantity (Manukau),Inventory Quantity (Porirua),Inventory Quantity (Manners Street),Inventory Quantity (George Street),Inventory Quantity (Papanui),Inventory Quantity (Shirley),Inventory Quantity (Tower Junction),Inventory Quantity (Hornby),Inventory Quantity (Pakuranga),Inventory Quantity (New Plymouth Central),Inventory Quantity (Upper Hutt Central),Inventory Quantity (Whangaparaoa),Inventory Quantity (Westgate),Inventory Quantity (Pukekohe),Inventory Quantity (Te Awamutu),Inventory Quantity (Pine Hill),Inventory Quantity (Rolleston),Inventory Quantity (Rangiora),Inventory Quantity (Mount Roskill),Inventory Quantity (Whanganui),Inventory Quantity (Mt Wellington),Inventory Quantity (South Dunedin),Inventory Quantity (Lyall Bay),Inventory Quantity (South Island Dark Store),Inventory Quantity (Petone),Inventory Quantity (West City)
"=""9001189""",0,0,0,1,0,0,0,2,0,0,2,0,0,0,4,1,0,1,0,0,4,0,0,0,0,0,1,0
"=""18275""",2,2,1,4,5,4,2,1,4,1,3,3,4,5,4,3,1,2,1,1,3,5,3,1,2,0,0,0
"=""2596512""",0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""2603527""",1,7,0,12,4,1,2,0,1,3,6,0,1,3,7,2,4,2,3,4,0,1,2,2,3,11,5,12
"=""2578174""",8,9,9,5,2,12,5,7,4,6,2,36,11,5,16,3,16,4,4,5,4,3,7,14,9,2,6,5
"=""2318067""",1,11,4,-1,3,3,7,3,2,5,2,1,2,2,4,2,1,1,3,5,0,2,5,3,2,0,2,1
"=""2450216""",2,3,2,3,3,4,5,8,3,2,4,4,4,4,3,0,3,2,0,0,2,2,3,2,2,-3,1,3
"=""2332248""",15,4,4,1,8,5,16,5,7,0,2,4,1,7,0,3,1,0,2,9,0,4,6,0,6,0,3,5
"=""97197""",0,2,1,0,0,0,0,3,0,2,1,0,1,0,1,1,0,2,0,1,1,1,4,2,2,0,3,1
"=""77167""",1,2,2,2,3,4,1,6,3,1,1,3,6,4,3,2,2,1,4,2,3,2,4,3,2,0,3,2
"=""9003499""",2,3,4,3,2,1,3,3,5,3,1,1,1,1,3,2,2,4,1,4,6,4,3,5,3,-1,1,2
"=""18886""",49,29,82,17,38,26,27,61,29,16,37,39,39,12,5,13,46,37,14,65,43,3,16,32,6,0,72,22
"=""9003512""",0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3
"=""9003308""",4,5,0,1,0,6,3,3,9,3,0,5,1,0,3,0,4,0,1,6,0,0,0,0,0,0,4,0
"=""11319""",0,4,3,3,5,4,2,3,5,3,1,5,5,10,2,2,2,4,4,5,4,6,3,3,2,0,0,0
"=""362085""",9,7,4,2,7,11,1,15,1,2,8,12,15,11,2,3,12,2,8,12,2,17,12,4,15,0,13,7
"=""17268""",5,0,3,1,1,2,0,9,2,2,4,1,3,1,0,1,0,2,0,6,3,1,4,0,4,0,0,1
"=""2578204""",6,4,10,1,3,4,4,6,3,6,3,14,2,8,10,1,3,0,5,8,6,9,3,1,4,6,11,3
"=""9004454""",0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,-1,0,0
"=""2279762""",4,2,0,2,2,5,2,6,3,1,2,3,2,1,1,0,3,1,2,2,2,1,3,2,2,4,1,2
"=""2604914""",1,2,15,3,2,15,3,2,2,1,4,5,3,1,3,5,7,1,2,0,4,5,3,0,1,-1,1,4
"=""62506""",4,3,4,5,4,2,2,1,2,3,5,3,4,4,2,2,1,4,7,3,4,6,3,5,3,0,0,0
"=""18174""",4,9,3,3,6,3,4,2,11,3,3,4,3,5,2,4,2,5,5,6,5,6,5,3,0,0,3,4
"=""9003910""",7,0,1,5,0,3,2,3,1,2,5,4,4,4,5,3,1,1,2,4,8,2,2,3,2,0,4,4
"=""81762""",5,5,3,6,16,15,8,4,9,7,2,1,7,5,3,3,4,2,2,6,0,7,2,6,2,0,5,2
"=""16259""",1,2,0,0,2,4,2,2,0,6,2,1,3,0,0,0,0,1,0,6,1,0,0,1,0,0,0,3
"=""2578190""",3,7,4,4,8,10,9,5,3,2,7,19,4,8,3,10,5,2,5,7,6,3,5,13,6,6,13,5
"=""20187""",6,0,0,3,0,4,4,3,0,3,3,0,4,11,0,4,0,2,0,3,0,0,0,0,0,0,3,3
"=""2353628""",3,3,1,2,1,1,1,5,3,2,1,2,2,10,5,3,3,2,6,1,1,2,3,1,2,0,0,0
"=""49146""",1,3,2,9,4,1,4,4,4,3,5,2,7,1,4,3,0,2,3,4,6,2,3,2,0,0,9,4
"=""17106""",4,3,2,9,4,4,3,2,6,2,2,2,3,2,2,6,5,2,3,3,3,2,4,2,1,0,3,2
"=""2090597""",7,5,3,3,5,10,3,3,7,2,1,2,7,3,6,3,1,3,2,4,2,1,3,1,3,2,2,2
"=""2525402""",0,1,1,1,1,2,4,12,0,1,1,3,9,1,1,2,1,3,1,1,2,2,3,0,0,1,1,5
"=""911208""",18,40,27,26,18,18,12,13,23,23,5,27,17,16,13,11,7,6,6,55,11,10,16,0,15,1,26,18
"=""2259788""",1,3,2,1,1,1,3,7,4,0,2,3,3,2,1,1,1,2,4,1,2,2,0,1,3,0,2,1
"=""2617048""",4,6,17,1,3,4,7,5,4,2,8,9,1,3,5,4,4,4,3,1,2,6,3,4,0,2,2,7
"=""2134411""",0,0,58,0,0,102,0,40,94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,0
"=""2593734""",8,3,2,4,7,7,5,2,5,1,3,8,11,7,6,2,12,3,4,3,4,0,4,5,1,6,3,18
"=""2472600""",3,2,3,2,3,5,1,12,3,5,2,1,1,3,2,1,3,2,1,2,5,6,2,0,0,2,3,1
"=""82084""",0,1,2,-2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,1,0,0,0,0
"=""9003270""",0,1,0,1,3,0,0,0,0,0,2,0,3,3,2,1,0,2,0,0,0,0,0,0,0,0,5,0
"=""2537214""",6,4,0,1,2,2,3,7,7,3,4,4,0,3,2,2,2,3,2,3,3,3,5,3,2,2,4,2
"=""9003322""",4,4,2,4,0,1,3,5,1,0,3,4,2,1,-1,2,7,2,4,2,6,3,6,1,2,6,0,2
"=""9004052""",0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0
"=""97199""",2,4,2,0,0,1,1,1,2,1,2,0,1,0,2,0,0,3,0,0,3,0,3,1,0,0,3,2
"=""331228""",25,19,6,14,10,16,18,14,16,19,2,3,17,18,15,21,19,17,17,3,17,18,2,1,20,0,5,5
"=""2557142""",60,20,25,101,131,10,0,706,168,28,1,12,19,9,17,11,40,9,3,355,1,9,10,6,10,8,12,9
"=""9003843""",2,8,6,2,0,6,3,5,6,8,7,5,6,2,10,0,7,0,0,4,0,0,0,0,0,-1,5,0
"=""9004453""",0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,8,0,0,0,0,0,0,0
"=""13555""",4,2,0,4,0,0,0,0,0,1,1,0,0,0,0,3,0,1,2,3,2,5,2,0,0,0,0,0
"=""529494""",4,1,1,4,5,2,1,3,3,2,4,0,6,4,2,3,3,2,5,0,2,4,3,6,3,3,4,5
"=""2609797""",14,14,9,7,10,8,6,5,11,8,6,22,7,19,4,11,8,8,19,16,17,14,11,6,9,6,14,8
"=""9003845""",7,3,3,3,0,3,4,7,6,5,2,6,3,3,3,3,5,0,5,2,3,0,0,0,0,0,3,0
"=""27556""",1,3,2,4,6,3,5,3,6,4,2,2,3,8,1,3,2,5,2,6,5,6,3,2,0,0,2,5
"=""45522""",6,13,0,5,4,6,13,0,15,1,18,6,0,14,1,9,1,18,9,17,0,3,16,10,2,1,1,0
"=""35204""",3,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""692700""",2,3,3,3,4,2,2,3,12,8,1,2,2,3,2,3,2,2,0,2,2,0,0,2,2,0,5,0
"=""9003844""",5,3,4,2,0,2,6,3,5,4,3,0,3,5,8,4,2,0,0,5,0,10,0,0,0,0,6,0
"=""2519453""",0,0,10,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"=""17888""",0,12,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"=""2527847""",3,2,2,1,3,3,3,9,4,4,2,4,2,4,5,2,3,2,4,3,3,3,6,0,2,6,9,3
"=""2559331""",27,2,16,16,11,18,8,10,8,20,21,4,4,19,10,20,4,22,24,3,16,20,19,34,22,4,2,12
"=""2614669""",2,1,3,0,10,1,0,3,2,6,4,25,9,1,1,2,7,11,8,8,16,9,2,2,0,0,3,31
"=""9003182""",0,0,0,0,4,2,0,1,0,0,2,1,0,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"=""488836""",4,1,4,4,5,0,2,1,1,2,0,3,0,1,0,2,1,1,2,1,1,3,5,12,6,2,1,4
"=""2528088""",2,2,2,2,5,0,1,1,2,5,2,2,4,2,5,1,0,3,3,-1,1,0,4,7,2,6,4,3
"=""18324""",1,7,0,5,4,3,5,3,2,3,6,2,5,4,0,3,1,1,3,2,2,0,3,3,4,0,4,6
"=""9004459""",0,0,0,0,0,0,0,0,0,6,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"=""11588""",0,1,0,0,5,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"=""2626624""",5,2,3,3,5,2,1,2,3,3,3,1,2,4,3,4,2,6,5,6,3,6,4,4,3,1,14,0
"=""65970""",0,0,0,2,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0
"=""2313448""",0,0,5,11,2,0,0,0,8,4,5,2,2,2,9,1,9,11,0,4,0,1,2,4,9,0,5,14
"=""2437279""",4,0,7,6,4,3,5,2,3,3,6,3,5,3,5,7,3,2,7,1,6,-1,6,0,3,-1,6,1
"=""50395""",6,1,4,3,2,2,5,2,7,3,1,5,3,7,2,2,1,3,4,1,3,2,6,3,10,0,2,0
"=""46290""",0,20,11,13,9,16,0,18,17,23,9,1,18,0,1,1,0,0,29,20,0,0,0,19,0,2,0,0
"=""9003619""",0,0,0,13,2,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""2592045""",12,0,1,3,7,5,7,4,3,5,2,13,7,4,1,2,2,3,10,6,3,0,3,3,3,7,7,2
"=""2185393""",7,4,1,5,12,5,7,5,3,4,4,5,5,2,3,2,2,3,1,5,2,5,4,3,4,14,16,4
"=""62603""",2,1,2,1,1,3,4,2,1,3,3,9,2,3,4,2,3,1,2,5,2,2,4,1,1,6,0,0
"=""356751""",3,6,1,2,2,3,1,1,2,2,1,5,5,3,0,2,0,4,3,1,6,3,2,3,0,0,6,4
"=""38340""",4,0,1,2,0,0,0,0,1,2,3,1,0,1,1,3,2,1,0,0,2,2,2,4,0,0,0,0
"=""9003616""",0,0,5,2,1,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""13167""",7,4,5,4,3,4,9,9,5,9,5,5,6,8,3,6,4,8,1,4,3,4,5,6,2,0,3,5
"=""2231565""",2,2,2,2,3,1,2,4,9,4,1,6,2,2,3,0,1,1,8,4,2,2,6,1,2,4,2,0
"=""72389""",4,2,4,4,3,6,2,8,3,2,3,6,9,6,3,2,1,2,0,2,1,4,3,0,2,3,1,1
"=""72407""",14,6,2,2,3,7,8,3,5,10,3,6,3,4,1,1,11,3,7,8,7,6,6,3,2,0,4,6
"=""42297""",0,2,3,4,2,4,2,1,6,2,2,3,1,8,4,6,1,6,5,0,4,0,0,0,0,1,0,0
"=""56628""",2,2,1,6,2,3,3,1,3,3,2,3,1,13,2,3,5,1,4,4,3,2,1,2,2,1,0,0
"=""11587""",8,8,2,3,4,5,6,13,17,5,4,4,4,1,2,2,5,5,5,5,5,6,0,11,4,4,1,2
"=""2351560""",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,-1,2,0,0,0
"=""72368""",1,1,2,3,3,4,7,4,5,1,3,3,4,1,3,7,3,3,7,4,3,1,5,9,2,0,3,4
"=""2517183""",5,3,3,1,2,2,3,5,0,4,2,2,6,4,2,1,2,0,6,2,0,1,0,0,1,5,3,3
"=""9004054""",0,0,1,0,2,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""31998""",0,0,0,0,2,0,0,1,0,0,0,0,2,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0
"=""2279851""",2,1,2,0,4,1,2,3,2,2,3,4,3,2,1,3,3,1,2,2,2,3,4,3,2,8,5,1
"=""2313421""",14,0,5,0,5,6,2,1,2,2,1,6,0,1,6,7,0,11,6,0,9,2,3,-1,4,0,2,10
"=""252158""",0,14,1,0,1,4,4,7,2,3,1,3,1,2,3,5,3,3,2,3,0,2,6,4,0,0,0,1
"=""2606852""",22,20,25,5,25,22,18,12,19,11,27,14,7,15,34,7,24,13,32,17,17,14,16,0,3,2,10,6
"=""2586797""",0,0,2,1,3,3,1,9,4,2,4,4,2,2,2,1,4,2,0,3,0,3,3,5,2,0,3,2
"=""9003789""",3,9,0,3,2,2,3,3,2,2,3,3,2,8,2,4,2,3,4,0,4,6,3,11,2,0,6,2
"=""2071835""",2,2,3,2,3,4,2,7,2,1,1,6,1,2,1,2,6,3,5,1,3,2,1,1,2,4,2,2
"=""31525""",2,11,2,0,6,5,5,0,2,2,3,1,7,4,5,4,3,4,4,2,3,4,5,3,3,0,0,0
"=""10687""",3,2,2,2,0,5,0,4,2,3,3,4,3,4,3,3,2,3,2,2,5,7,3,0,3,0,3,0
"=""65978""",1,4,9,8,2,4,4,11,0,6,8,4,9,6,8,3,0,5,4,3,8,6,5,3,4,0,9,0
"=""65982""",2,6,6,1,5,5,11,11,2,1,7,5,9,4,18,7,6,4,2,4,2,6,5,10,5,0,7,0
"=""17279""",3,3,7,1,4,2,2,3,2,7,2,3,2,2,5,2,2,3,4,1,3,4,3,8,3,0,2,3
"=""9003302""",6,2,0,1,0,2,2,7,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,2
"=""80226""",4,5,2,0,2,2,2,1,4,0,2,0,4,4,2,2,1,3,0,4,2,3,5,6,2,5,1,2
"=""9003804""",2,0,0,3,2,0,1,2,1,2,1,0,4,6,4,2,1,4,4,1,0,3,5,0,3,0,3,3
"=""2102285""",0,4,1,1,2,3,2,16,4,1,2,4,3,3,3,3,4,1,2,5,4,2,3,4,3,3,2,5
"=""2632241""",0,5,3,0,0,5,0,0,2,0,0,2,0,4,11,2,4,5,0,3,0,4,5,0,1,-2,3,4
"=""9004130""",4,2,2,4,11,0,1,6,4,2,3,0,2,1,7,5,3,5,2,7,1,6,0,0,4,7,4,4
"=""17208""",0,4,1,2,4,2,1,5,2,3,4,1,2,3,3,2,0,3,0,1,1,1,3,0,3,1,3,1
"=""38634""",0,0,1,2,0,0,0,0,0,0,0,2,5,0,2,0,0,0,4,0,0,2,3,2,0,0,0,2
"=""72406""",3,4,2,4,9,1,3,3,4,3,4,2,3,2,2,4,1,4,3,4,4,4,3,5,3,0,5,5
"=""9003115""",5,0,3,0,0,7,1,1,1,0,0,5,0,1,7,3,0,0,0,9,2,1,10,2,0,0,0,4
"=""2472732""",3,0,6,1,6,13,7,4,11,6,7,3,4,0,4,1,4,1,1,4,2,6,4,0,5,6,5,6
"=""2528142""",6,9,2,0,0,1,3,6,3,0,3,1,2,0,2,3,0,0,12,1,2,2,1,0,3,0,2,3
"=""330930""",19,3,5,11,14,10,0,7,6,2,12,2,10,2,14,3,5,2,2,9,0,9,2,2,4,13,2,2
"=""2617633""",3,2,2,4,4,4,2,5,2,2,2,6,6,2,7,2,6,0,3,5,4,4,11,4,6,6,3,6
"=""2528053""",5,5,3,3,1,4,3,6,2,0,3,1,2,3,2,3,3,3,5,3,5,8,6,0,2,0,2,3
"=""2332396""",3,6,2,1,1,4,3,2,5,6,2,2,2,2,2,3,1,2,5,2,2,6,3,8,4,0,0,2
"=""2341093""",3,2,1,2,2,3,4,3,4,5,6,-2,3,4,4,3,3,2,5,3,4,1,4,2,2,2,4,3
"=""62608""",10,1,1,2,2,2,2,1,1,3,6,1,4,5,3,2,3,4,1,5,2,2,3,10,2,0,0,0
"=""90002259""",-1,0,0,6,0,0,0,24,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""62356""",0,2,3,6,5,1,1,3,3,2,4,4,3,7,1,3,4,3,1,0,6,1,4,3,3,0,0,0
"=""2527987""",6,4,2,1,0,5,1,4,12,6,1,9,7,5,5,4,3,3,5,3,3,2,3,3,2,9,19,2
"=""9004492""",3,4,2,2,2,1,2,3,3,6,7,4,4,2,4,8,4,5,8,4,4,4,4,5,4,0,0,3
"=""62534""",3,10,2,15,7,12,2,3,2,7,12,13,12,8,2,14,2,5,1,9,7,3,4,0,2,0,0,0
"=""2498081""",4,2,1,3,2,3,5,2,2,3,1,4,16,1,3,0,5,0,0,2,3,3,2,0,4,-2,4,1
"=""9004491""",2,4,5,1,5,1,1,1,0,1,2,1,3,1,2,2,1,3,1,0,2,0,4,2,2,-1,0,6
"=""2496704""",3,3,2,2,3,2,2,3,2,4,2,5,1,2,6,3,1,2,3,2,1,1,5,1,3,5,7,4
"=""38110""",1,4,2,6,8,3,1,1,6,1,3,2,4,2,5,3,7,1,0,2,2,3,5,3,3,0,0,0
"=""17108""",0,1,2,0,1,3,0,2,0,3,2,2,0,3,0,2,2,1,1,0,0,2,5,1,2,2,2,0
"=""42303""",13,3,3,4,5,1,3,1,6,2,4,2,3,6,14,6,6,5,3,2,1,5,3,0,3,0,0,0
"=""70011""",0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"=""9003190""",0,0,8,0,5,8,0,2,0,0,2,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,2,2
"=""16525""",4,2,3,2,4,1,3,2,8,21,1,2,1,3,3,3,2,4,3,2,4,4,6,2,2,0,0,0
"=""67746""",5,6,1,4,2,7,5,0,2,5,2,3,3,2,5,3,4,1,4,5,3,5,2,4,3,5,4,2
"=""2527839""",4,1,3,6,2,3,5,3,2,6,3,0,10,3,1,0,5,3,3,6,2,2,3,6,4,3,8,4
"=""410772""",5,3,1,0,2,1,0,3,7,1,1,2,4,1,1,5,1,2,6,3,0,0,1,1,2,4,2,8
"=""495824""",21,3,3,3,2,1,5,7,6,4,3,6,7,6,2,2,2,2,3,7,2,3,3,3,4,3,3,3
"=""65996""",2,3,0,8,2,2,4,4,1,3,4,1,9,8,9,3,6,5,3,0,5,0,0,3,0,0,11,0
"=""2528096""",1,2,2,3,1,2,2,2,1,1,2,3,3,3,3,3,3,3,0,2,3,1,3,0,3,0,1,3
"=""17885""",0,11,1,0,0,0,2,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""9003370""",3,47,11,12,4,7,5,10,11,0,10,3,3,-1,6,36,8,4,3,12,6,24,3,5,11,9,13,5
"=""19256""",3,2,5,4,4,6,0,2,6,3,1,1,7,11,5,4,0,0,4,1,3,2,3,6,3,0,0,0
"=""2528193""",609,606,194,267,396,75,480,270,239,419,360,63,275,235,425,356,462,96,375,558,465,92,403,591,38,141,435,180
"=""29126""",5,2,3,4,8,4,0,1,7,5,3,1,4,2,4,4,7,6,6,4,6,1,3,9,1,0,7,2
"=""9003297""",0,2,1,0,0,2,1,4,0,2,2,4,2,0,0,0,0,4,0,0,0,6,0,0,0,0,1,1
"=""2294125""",7,12,0,2,13,8,4,11,10,3,2,6,2,4,2,4,12,3,4,6,2,2,9,3,3,9,6,2
"=""2614588""",4,3,2,3,1,1,5,3,1,0,3,5,3,1,2,3,0,0,9,3,1,1,2,3,3,3,3,3
"=""10022""",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"=""9003173""",2,8,1,-1,0,0,2,1,0,2,0,0,0,0,0,0,1,0,1,1,4,1,1,0,0,0,0,1
"=""53100""",0,2,1,0,0,0,0,0,0,2,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"=""2632233""",0,1,0,0,0,0,0,3,6,0,3,0,5,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""2579065""",3,2,0,3,2,5,6,0,2,9,3,4,3,2,5,2,0,0,1,1,3,0,1,1,3,6,2,0
"=""9003178""",0,0,0,4,1,2,0,0,0,0,2,2,0,1,0,3,0,2,0,0,0,0,0,0,0,0,1,3
"=""72477""",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"=""2013770""",7,11,0,8,10,0,13,5,2,10,5,6,9,10,1,7,11,3,5,5,3,3,0,0,5,10,9,0
"=""616036""",4,5,3,5,1,-2,20,3,5,1,3,1,3,3,1,1,3,0,12,12,3,2,3,1,6,-2,0,2
"=""54218""",3,1,3,2,0,0,0,6,3,2,2,1,0,2,4,2,0,1,1,0,3,0,4,0,2,0,1,3
"=""2569450""",1,1,1,2,0,2,0,2,2,3,1,3,1,0,4,3,0,2,2,4,3,3,4,3,0,5,3,4
"=""2364468""",0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"=""9003791""",5,10,2,3,3,3,3,9,5,2,3,4,7,1,3,3,1,3,1,9,3,4,3,6,4,0,3,1
"=""17191""",4,3,1,4,2,2,3,3,2,3,1,1,2,1,6,3,4,2,1,3,1,1,1,3,1,3,2,1
"=""2259842""",2,1,1,1,1,3,1,3,1,2,2,1,2,2,1,1,0,2,6,1,3,1,2,0,1,-1,1,3
"=""2631857""",6,6,1,1,2,0,1,8,1,1,2,0,14,0,2,3,2,10,4,0,3,3,2,0,5,4,2,14
"=""2580004""",0,0,3,5,3,3,0,5,2,2,1,1,4,4,2,1,1,3,0,5,1,3,3,3,3,3,3,3
"=""776408""",0,0,0,0,0,0,1,6,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3
"=""9003911""",6,3,0,1,6,7,4,2,5,0,3,1,4,0,1,3,3,1,4,2,5,0,1,6,3,0,4,2
"=""9003389""",0,0,0,2,2,4,2,0,0,2,1,1,2,2,4,3,3,1,2,0,2,2,1,0,0,0,0,2
"=""9003208""",12,4,5,1,3,2,7,1,5,6,1,0,4,0,3,3,3,3,8,4,2,5,1,0,6,0,5,3
"=""62508""",5,3,4,4,3,1,2,3,3,1,6,4,4,4,1,3,2,2,4,1,7,3,3,2,9,0,0,0
"=""65980""",0,5,2,4,3,0,1,2,0,5,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""97192""",1,2,2,1,3,0,0,2,1,2,2,0,1,0,1,0,0,1,0,4,1,0,2,1,1,0,5,3
"=""2610825""",15,6,9,13,16,5,18,11,15,18,16,12,24,19,7,10,23,11,13,24,8,36,9,11,7,0,5,11
"=""68970""",0,1,8,-2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""75816""",6,5,5,6,7,7,3,6,5,3,2,4,3,4,4,3,3,5,2,5,4,8,2,7,7,0,4,3
"=""2621258""",3,2,7,6,6,4,3,0,4,0,4,5,8,1,2,7,0,1,2,1,3,5,3,3,4,4,4,6
"=""10468""",0,2,2,0,0,1,1,2,0,1,2,2,4,3,3,3,2,2,3,2,2,3,3,0,0,-3,0,1
"=""2630990""",4,9,2,3,4,3,7,1,2,2,4,6,0,2,2,3,4,1,4,12,3,6,4,6,2,8,6,1
"=""2404168""",8,6,9,8,9,14,7,5,5,5,7,5,4,6,4,3,5,1,4,6,7,4,2,7,2,0,3,6
"=""34006""",4,12,0,4,2,3,0,3,1,0,2,2,6,4,1,1,4,1,4,6,3,4,3,1,1,3,2,5
"=""35461""",0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"=""9001020""",34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"=""9003374""",3,2,4,2,3,2,5,3,3,3,3,3,1,3,2,1,0,2,2,5,1,3,3,6,0,1,5,4
"=""18333""",4,8,1,0,3,1,2,2,6,4,4,0,5,4,2,2,1,6,5,4,2,6,5,4,2,4,0,5
"=""28197""",6,5,3,5,1,3,1,13,8,4,4,2,5,4,3,5,2,1,4,3,3,6,3,4,2,0,6,4
"=""10835""",6,11,8,12,7,4,4,6,5,11,13,10,3,10,7,11,10,12,9,5,11,9,12,9,17,13,0,3
"=""65991""",11,3,2,1,7,3,6,2,5,2,2,5,10,2,8,6,4,8,5,1,7,5,3,12,5,0,7,0
"=""2626322""",0,0,2,0,0,0,0,27,1,10,1,0,0,3,0,5,0,0,1,1,1,2,2,5,0,0,0,1
"=""2528045""",5,2,4,-1,-1,6,4,3,6,1,2,5,3,0,4,3,0,2,4,1,3,3,2,1,0,0,3,2
"=""9003236""",4,2,2,12,5,3,3,4,3,4,7,3,4,2,1,14,2,1,9,5,3,4,3,3,4,0,0,0
"=""9003265""",3,2,4,7,7,3,1,7,5,4,3,6,8,3,3,3,0,1,3,1,4,3,3,0,7,0,0,0
"=""9001188""",0,0,0,1,0,0,0,2,3,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,1
"=""429244""",0,2,1,1,1,2,2,5,1,2,1,3,2,0,3,3,0,0,0,2,0,3,3,0,0,0,0,2
"=""59555""",3,1,4,5,2,2,1,4,3,1,4,2,2,1,3,2,6,5,1,2,2,6,3,7,1,0,0,0
"=""2544865""",2,2,0,0,2,8,3,5,3,1,3,1,4,2,1,1,1,2,5,3,1,0,1,0,1,8,2,3
"=""67735""",6,2,5,0,3,2,6,1,1,2,2,1,4,5,6,2,2,0,2,0,2,4,0,1,0,11,5,3
"=""62896""",0,0,1,4,2,0,2,2,3,0,2,2,3,2,3,3,0,0,3,0,0,0,0,0,1,0,4,0
"=""9003513""",1,1,0,0,0,0,4,8,1,4,4,0,4,0,4,0,1,0,0,0,0,3,0,0,0,0,2,4
"=""18330""",1,2,1,3,2,2,1,0,1,0,0,5,1,6,0,1,0,3,0,0,2,1,2,1,2,0,0,0
"=""2601222""",0,2,3,-1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""365270""",5,5,5,5,5,6,4,3,4,4,4,4,5,3,4,5,2,5,4,4,5,5,5,4,2,6,4,5
"=""9003609""",0,0,1,2,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""2584611""",3,1,1,2,3,1,3,0,3,1,4,0,1,2,2,4,3,1,4,3,2,6,4,3,2,0,1,3
"=""72408""",1,5,2,4,2,2,0,0,0,4,5,3,3,0,1,2,0,6,0,0,4,2,2,3,2,0,0,6
"=""67661""",4,2,5,4,6,2,1,3,3,1,3,3,5,5,4,4,9,4,3,3,3,4,2,7,7,5,5,4
"=""2156857""",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"=""2439042""",3,1,2,5,7,0,4,6,5,3,2,5,4,4,7,1,1,2,1,1,2,1,5,8,4,-1,3,2
"=""9003829""",3,3,0,4,0,2,4,9,1,3,0,1,1,0,5,6,0,7,3,4,1,2,2,2,3,0,3,4
